Column1,Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Operating Margin,Sales Method,year
0,Foot Locker,1185732,"Wednesday, January 1, 2020",Northeast,New York,new york,Men's Street Footwear,50,1200,600000,300000,0.5,In-store,2020
1,Foot Locker,1185732,"Thursday, January 2, 2020",Northeast,New York,new york,Men's Athletic Footwear,50,1000,500000,150000,0.3,In-store,2020
2,Foot Locker,1185732,"Friday, January 3, 2020",Northeast,New York,new york,Women's Street Footwear,40,1000,400000,140000,0.35,In-store,2020
3,Foot Locker,1185732,"Saturday, January 4, 2020",Northeast,New York,new york,Women's Athletic Footwear,45,850,382500,133875,0.35,In-store,2020
4,Foot Locker,1185732,"Sunday, January 5, 2020",Northeast,New York,new york,Men's Apparel,60,900,540000,162000,0.3,In-store,2020
5,Foot Locker,1185732,"Monday, January 6, 2020",Northeast,New York,new york,Women's Apparel,50,1000,500000,125000,0.25,In-store,2020
6,Foot Locker,1185732,"Tuesday, January 7, 2020",Northeast,New York,new york,Men's Street Footwear,50,1250,625000,312500,0.5,In-store,2020
7,Foot Locker,1185732,"Wednesday, January 8, 2020",Northeast,New York,new york,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet,2020
8,Foot Locker,1185732,"Tuesday, January 21, 2020",Northeast,New York,new york,Women's Street Footwear,40,950,380000,133000,0.35,Outlet,2020
9,Foot Locker,1185732,"Wednesday, January 22, 2020",Northeast,New York,new york,Women's Athletic Footwear,45,825,371250,129937.5,0.35,Outlet,2020
10,Foot Locker,1185732,"Thursday, January 23, 2020",Northeast,New York,new york,Men's Apparel,60,900,540000,162000,0.3,Outlet,2020
11,Foot Locker,1185732,"Friday, January 24, 2020",Northeast,New York,new york,Women's Apparel,50,1000,500000,125000,0.25,Outlet,2020
12,Foot Locker,1185732,"Saturday, January 25, 2020",Northeast,New York,new york,Men's Street Footwear,50,1220,610000,305000,0.5,Outlet,2020
13,Foot Locker,1185732,"Sunday, January 26, 2020",Northeast,New York,new york,Men's Athletic Footwear,50,925,462500,138750,0.3,Outlet,2020
14,Foot Locker,1185732,"Monday, January 27, 2020",Northeast,New York,new york,Women's Street Footwear,40,950,380000,133000,0.35,Outlet,2020
15,Foot Locker,1185732,"Tuesday, January 28, 2020",Northeast,New York,new york,Women's Athletic Footwear,45,800,360000,126000,0.35,Outlet,2020
16,Foot Locker,1185732,"Wednesday, January 29, 2020",Northeast,New York,new york,Men's Apparel,60,850,510000,153000,0.3,Outlet,2020
17,Foot Locker,1185732,"Thursday, January 30, 2020",Northeast,New York,new york,Women's Apparel,50,950,475000,118750,0.25,Outlet,2020
18,Foot Locker,1185732,"Friday, January 31, 2020",Northeast,New York,new york,Men's Street Footwear,50,1200,600000,300000,0.5,Outlet,2020
19,Foot Locker,1185732,"Saturday, February 1, 2020",Northeast,New York,new york,Men's Athletic Footwear,50,900,450000,135000,0.3,Outlet,2020
20,Foot Locker,1185732,"Sunday, February 2, 2020",Northeast,New York,new york,Women's Street Footwear,40,900,360000,126000,0.35,Outlet,2020
21,Foot Locker,1185732,"Monday, February 3, 2020",Northeast,New York,new york,Women's Athletic Footwear,45,825,371250,129937.5,0.35,Outlet,2020
22,Foot Locker,1185732,"Tuesday, February 4, 2020",Northeast,New York,new york,Men's Apparel,60,825,495000,148500,0.3,Outlet,2020
23,Foot Locker,1185732,"Wednesday, February 5, 2020",Northeast,New York,new york,Women's Apparel,50,950,475000,118750,0.25,Outlet,2020
24,Foot Locker,1185732,"Thursday, February 6, 2020",Northeast,New York,new york,Men's Street Footwear,60,1220,732000,366000,0.5,Outlet,2020
25,Foot Locker,1185732,"Friday, February 7, 2020",Northeast,New York,new york,Men's Athletic Footwear,55,925,508750,152625,0.3,Outlet,2020
26,Foot Locker,1185732,"Saturday, February 8, 2020",Northeast,New York,new york,Women's Street Footwear,50,900,450000,157500,0.35,Outlet,2020
27,Foot Locker,1185732,"Sunday, February 9, 2020",Northeast,New York,new york,Women's Athletic Footwear,50,850,425000,148750,0.35,Outlet,2020
28,Foot Locker,1185732,"Monday, February 10, 2020",Northeast,New York,new york,Men's Apparel,60,875,525000,157500,0.3,Outlet,2020
29,Foot Locker,1185732,"Tuesday, March 3, 2020",Northeast,New York,new york,Women's Apparel,65,1000,650000,162500,0.25,Outlet,2020
30,Foot Locker,1185732,"Wednesday, March 4, 2020",Northeast,New York,new york,Men's Street Footwear,60,1250,750000,375000,0.5,Outlet,2020
31,Foot Locker,1185732,"Thursday, March 5, 2020",Northeast,New York,new york,Men's Athletic Footwear,55,1000,550000,165000,0.3,Outlet,2020
32,Foot Locker,1185732,"Friday, March 6, 2020",Northeast,New York,new york,Women's Street Footwear,50,925,462500,161875,0.35,Outlet,2020
33,Foot Locker,1185732,"Saturday, March 7, 2020",Northeast,New York,new york,Women's Athletic Footwear,50,900,450000,157500,0.35,Outlet,2020
34,Foot Locker,1185732,"Sunday, March 8, 2020",Northeast,New York,new york,Men's Apparel,60,900,540000,162000,0.3,Outlet,2020
